station_id,station_name,station_code,notes
sao-bento,São Bento,bto,
sao-caetano,São Caetano,,
sao-carlos,São Carlos,,
sao-joao,São João,,
sao-joaquim,São Joaquim,jqm,
sao-judas,São Judas,jud,
sao-lucas,São Lucas,slu,
sao-mateus,São Mateus,mat,
sao-miguel-paulista,São Miguel Paulista,,
sao-paulo-morumbi,São Paulo - Morumbi,,
sao-pedro,São Pedro,,
sapopemba,Sapopemba,sap,
sapucaia,Sapucaia,,
saude,Saúde,sau,
se,Sé,pse,
serra-de-botucatu,Serra De Botucatu,,
sesc-pompeia,Sesc Pompeia,,
silva-teles,Silva Teles,,
socorro,Socorro,,
sumare,Sumaré,sum,
suzano,Suzano,,
tabapua,Tabapuã,,
taboao-da-serra,Taboão Da Serra,,
taboao-msp,Taboão Msp,,
taboao-pauliceia,Taboão-Pauliceia,,
tamanduatei,Tamanduateí,tti,
tambore,Tamboré,,
tatuape,Tatuapé,tat,
teodoro-sampaio,Teodoro Sampaio,,
tiquatira,Tiquatira,,
tiradentes,Tiradentes,trd,
trianon-masp,Trianon-Masp,tri,
tucuruvi,Tucuruvi,tuc,
uniao-de-vila-nova,União De Vila Nova,,
universidade-de-sao-paulo,Universidade De São Paulo,,
usp-leste,Usp Leste,,
utinga,Utinga,,
varginha,Varginha,,
varzea-paulista,Várzea Paulista,,
velha-campinas,Velha Campinas,,
vergueiro,Vergueiro,vgo,
victor-civita,Victor Civita,,
vila-augusta,Vila Augusta,,
vila-aurora,Vila Aurora,,
vila-babilonia,Vila Babilônia,,
vila-bertioga,Vila Bertioga,,
vila-cardoso,Vila Cardoso,,
vila-clarice,Vila Clarice,,
vila-cordeiro,Vila Cordeiro,,
vila-das-belezas,Vila das Belezas,,
vila-formosa,Vila Formosa,,
vila-jacui,Vila Jacuí,,
vila-luzita,Vila Luzita,,
vila-madalena,Vila Madalena,vmd,
vila-maria,Vila Maria,,
vila-mariana,Vila Mariana,vmn,
vila-matilde,Vila Matilde,vtd,
vila-monumento,Vila Monumento,,
vila-olimpia,Vila Olímpia,,
vila-paulista,Vila Paulista,,
vila-prudente,Vila Prudente,vpm,
vila-romana,Vila Romana,,
vila-sonia,Vila Sônia,,
vila-tolstoi,Vila Tolstói,vtl,
vila-uniao,Vila União,vun,
villa-lobos-jaguare,Villa-Lobos - Jaguaré,,
vital-brasil,Vital Brasil,,
washington-luis,Washington Luis,,
