date,line_number,metric_abb,metric,value,year
2020-10-01,1,mdu,Média dos Dias Úteis,668,2020
2020-10-01,1,msa,Média dos Sábados,453,2020
2020-10-01,1,mdo,Média dos Domingos,224,2020
2020-10-01,1,max,Máxima Diária,698,2020
2020-10-01,2,total,Total,9020,2020
2020-10-01,2,mdu,Média dos Dias Úteis,356,2020
2020-10-01,2,msa,Média dos Sábados,196,2020
2020-10-01,2,mdo,Média dos Domingos,107,2020
2020-10-01,2,max,Máxima Diária,371,2020
2020-10-01,3,total,Total,18881,2020
2020-10-01,3,mdu,Média dos Dias Úteis,722,2020
2020-10-01,3,msa,Média dos Sábados,482,2020
2020-10-01,3,mdo,Média dos Domingos,252,2020
2020-10-01,3,max,Máxima Diária,759,2020
2020-10-01,15,total,Total,1650,2020
2020-10-01,15,mdu,Média dos Dias Úteis,64,2020
2020-10-01,15,msa,Média dos Sábados,39,2020
2020-10-01,15,mdo,Média dos Domingos,21,2020
2020-10-01,15,max,Máxima Diária,68,2020
2020-10-01,NA,total,Total,47032,2020
2020-10-01,NA,mdu,Média dos Dias Úteis,1811,2020
2020-10-01,NA,msa,Média dos Sábados,1171,2020
2020-10-01,NA,mdo,Média dos Domingos,604,2020
2020-10-01,NA,max,Máxima Diária,1895,2020
2020-11-01,1,total,Total,17630,2020
2020-11-01,1,mdu,Média dos Dias Úteis,703,2020
2020-11-01,1,msa,Média dos Sábados,503,2020
2020-11-01,1,mdo,Média dos Domingos,259,2020
2020-11-01,1,max,Máxima Diária,736,2020
2020-11-01,2,total,Total,9080,2020
2020-11-01,2,mdu,Média dos Dias Úteis,374,2020
2020-11-01,2,msa,Média dos Sábados,217,2020
2020-11-01,2,mdo,Média dos Domingos,124,2020
2020-11-01,2,max,Máxima Diária,387,2020
2020-11-01,3,total,Total,18956,2020
2020-11-01,3,mdu,Média dos Dias Úteis,754,2020
2020-11-01,3,msa,Média dos Sábados,538,2020
2020-11-01,3,mdo,Média dos Domingos,289,2020
2020-11-01,3,max,Máxima Diária,798,2020
2020-11-01,15,total,Total,1631,2020
2020-11-01,15,mdu,Média dos Dias Úteis,66,2020
2020-11-01,15,msa,Média dos Sábados,42,2020
2020-11-01,15,mdo,Média dos Domingos,24,2020
2020-11-01,15,max,Máxima Diária,70,2020
2020-11-01,NA,total,Total,47298,2020
2020-11-01,NA,mdu,Média dos Dias Úteis,1897,2020
2020-11-01,NA,msa,Média dos Sábados,1300,2020
2020-11-01,NA,mdo,Média dos Domingos,695,2020
2020-11-01,NA,max,Máxima Diária,1987,2020
2020-12-01,1,total,Total,17629,2020
2020-12-01,1,mdu,Média dos Dias Úteis,696,2020
2020-12-01,1,msa,Média dos Sábados,467,2020
2020-12-01,1,mdo,Média dos Domingos,252,2020
2020-12-01,1,max,Máxima Diária,757,2020
2020-12-01,2,total,Total,8889,2020
2020-12-01,2,mdu,Média dos Dias Úteis,364,2020
2020-12-01,2,msa,Média dos Sábados,197,2020
2020-12-01,2,mdo,Média dos Domingos,114,2020
2020-12-01,2,max,Máxima Diária,394,2020
2020-12-01,3,total,Total,19256,2020
2020-12-01,3,mdu,Média dos Dias Úteis,758,2020
2020-12-01,3,msa,Média dos Sábados,512,2020
2020-12-01,3,mdo,Média dos Domingos,283,2020
2020-12-01,3,max,Máxima Diária,839,2020
2020-12-01,15,total,Total,1692,2020
2020-12-01,15,mdu,Média dos Dias Úteis,68,2020
2020-12-01,15,msa,Média dos Sábados,42,2020
2020-12-01,15,mdo,Média dos Domingos,23,2020
2020-12-01,15,max,Máxima Diária,73,2020
2020-12-01,NA,total,Total,47466,2020
2020-12-01,NA,mdu,Média dos Dias Úteis,1886,2020
2020-12-01,NA,msa,Média dos Sábados,1218,2020
2020-12-01,NA,mdo,Média dos Domingos,672,2020
2020-12-01,NA,max,Máxima Diária,2063,2020
2021-01-01,1,total,Total,15890,2021
2021-01-01,1,mdu,Média dos Dias Úteis,656,2021
2021-01-01,1,msa,Média dos Sábados,376,2021
2021-01-01,1,mdo,Média dos Domingos,224,2021
2021-01-01,1,max,Máxima Diária,695,2021
2021-01-01,2,total,Total,8244,2021
2021-01-01,2,mdu,Média dos Dias Úteis,353,2021
2021-01-01,2,msa,Média dos Sábados,166,2021
2021-01-01,2,mdo,Média dos Domingos,102,2021
2021-01-01,2,max,Máxima Diária,373,2021
2021-01-01,3,total,Total,17091,2021
2021-01-01,3,mdu,Média dos Dias Úteis,706,2021
2021-01-01,3,msa,Média dos Sábados,401,2021
2021-01-01,3,mdo,Média dos Domingos,241,2021
2021-01-01,3,max,Máxima Diária,750,2021
2021-01-01,15,total,Total,1571,2021
2021-01-01,15,mdu,Média dos Dias Úteis,66,2021
2021-01-01,15,msa,Média dos Sábados,34,2021
2021-01-01,15,mdo,Média dos Domingos,21,2021
2021-01-01,15,max,Máxima Diária,70,2021
2021-01-01,NA,total,Total,44175,2021
2021-01-01,NA,mdu,Média dos Dias Úteis,1882,2021
2021-01-01,NA,msa,Média dos Sábados,1133,2021
2021-01-01,NA,mdo,Média dos Domingos,619,2021
2021-01-01,NA,max,Máxima Diária,1935,2021
2021-02-01,1,total,Total,16415,2021
2021-02-01,1,mdu,Média dos Dias Úteis,692,2021
2021-02-01,1,msa,Média dos Sábados,436,2021
2021-02-01,1,mdo,Média dos Domingos,231,2021
2021-02-01,1,max,Máxima Diária,714,2021
2021-02-01,2,total,Total,8559,2021
2021-02-01,2,mdu,Média dos Dias Úteis,376,2021
2021-02-01,2,msa,Média dos Sábados,196,2021
2021-02-01,2,mdo,Média dos Domingos,110,2021
2021-02-01,2,max,Máxima Diária,383,2021
2021-02-01,3,total,Total,17626,2021
2021-02-01,3,mdu,Média dos Dias Úteis,746,2021
2021-02-01,3,msa,Média dos Sábados,463,2021
2021-02-01,3,mdo,Média dos Domingos,256,2021
2021-02-01,3,max,Máxima Diária,772,2021
2021-02-01,15,total,Total,1575,2021
2021-02-01,15,mdu,Média dos Dias Úteis,68,2021
2021-02-01,15,msa,Média dos Sábados,39,2021
2021-02-01,15,mdo,Média dos Domingos,21,2021
2021-02-01,15,max,Máxima Diária,72,2021
2021-02-01,NA,total,Total,37649,2021
2021-02-01,NA,mdu,Média dos Dias Úteis,1514,2021
2021-02-01,NA,msa,Média dos Sábados,757,2021
2021-02-01,NA,mdo,Média dos Domingos,410,2021
2021-02-01,NA,max,Máxima Diária,1955,2021
