date,line_number,metric_abb,metric,value,year
2021-01-01,15,msa,Average on Saturdays,34,2021
2021-01-01,15,mdo,Average on Sundays,21,2021
2021-01-01,15,max,Daily Peak,70,2021
2021-01-01,99,total,Total,42797,2021
2021-01-01,99,mdu,Average on Business Days,1781,2021
2021-01-01,99,msa,Average on Saturdays,977,2021
2021-01-01,99,mdo,Average on Sundays,588,2021
2021-01-01,99,max,Daily Peak,1887,2021
2021-02-01,1,total,Total,16415,2021
2021-02-01,1,mdu,Average on Business Days,692,2021
2021-02-01,1,msa,Average on Saturdays,436,2021
2021-02-01,1,mdo,Average on Sundays,231,2021
2021-02-01,1,max,Daily Peak,714,2021
2021-02-01,2,total,Total,8559,2021
2021-02-01,2,mdu,Average on Business Days,376,2021
2021-02-01,2,msa,Average on Saturdays,196,2021
2021-02-01,2,mdo,Average on Sundays,110,2021
2021-02-01,2,max,Daily Peak,383,2021
2021-02-01,3,total,Total,17626,2021
2021-02-01,3,mdu,Average on Business Days,746,2021
2021-02-01,3,msa,Average on Saturdays,463,2021
2021-02-01,3,mdo,Average on Sundays,256,2021
2021-02-01,3,max,Daily Peak,772,2021
2021-02-01,15,total,Total,1575,2021
2021-02-01,15,mdu,Average on Business Days,68,2021
2021-02-01,15,msa,Average on Saturdays,39,2021
2021-02-01,15,mdo,Average on Sundays,21,2021
2021-02-01,15,max,Daily Peak,72,2021
2021-02-01,99,total,Total,44175,2021
2021-02-01,99,mdu,Average on Business Days,1882,2021
2021-02-01,99,msa,Average on Saturdays,1133,2021
2021-02-01,99,mdo,Average on Sundays,619,2021
2021-02-01,99,max,Daily Peak,1935,2021
2021-03-01,1,total,Total,13700,2021
2021-03-01,1,mdu,Average on Business Days,548,2021
2021-03-01,1,msa,Average on Saturdays,282,2021
2021-03-01,1,mdo,Average on Sundays,149,2021
2021-03-01,1,max,Daily Peak,721,2021
2021-03-01,2,total,Total,7496,2021
2021-03-01,2,mdu,Average on Business Days,308,2021
2021-03-01,2,msa,Average on Saturdays,136,2021
