year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2017,transport,2017-11-01,Máxima Diária,1517,3,metro,Vermelha,Red
2017,transport,2017-11-01,Máxima Diária,285,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-11-01,Máxima Diária,24,15,metro,Prata,Silver
2017,transport,2017-11-01,Máxima Diária,4040,99,metro,Sistema METRO,METRO System
2017,transport,2017-12-01,Total,32878,1,metro,Azul,Blue
2017,transport,2017-12-01,Total,15014,2,metro,Verde,Green
2017,transport,2017-12-01,Total,34120,3,metro,Vermelha,Red
2017,transport,2017-12-01,Total,6541,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-12-01,Total,438,15,metro,Prata,Silver
2017,transport,2017-12-01,Total,88991,99,metro,Sistema METRO,METRO System
2017,transport,2017-12-01,Média dos dias úteis,1335,1,metro,Azul,Blue
2017,transport,2017-12-01,Média dos dias úteis,635,2,metro,Verde,Green
2017,transport,2017-12-01,Média dos dias úteis,1364,3,metro,Vermelha,Red
2017,transport,2017-12-01,Média dos dias úteis,264,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-12-01,Média dos dias úteis,20,15,metro,Prata,Silver
2017,transport,2017-12-01,Média dos dias úteis,3619,99,metro,Sistema METRO,METRO System
2017,transport,2017-12-01,Média dos Sábados,802,1,metro,Azul,Blue
2017,transport,2017-12-01,Média dos Sábados,292,2,metro,Verde,Green
2017,transport,2017-12-01,Média dos Sábados,878,3,metro,Vermelha,Red
2017,transport,2017-12-01,Média dos Sábados,167,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-12-01,Média dos Sábados,8,15,metro,Prata,Silver
2017,transport,2017-12-01,Média dos Sábados,2145,99,metro,Sistema METRO,METRO System
2017,transport,2017-12-01,Média dos Domingos,468,1,metro,Azul,Blue
2017,transport,2017-12-01,Média dos Domingos,205,2,metro,Verde,Green
2017,transport,2017-12-01,Média dos Domingos,516,3,metro,Vermelha,Red
2017,transport,2017-12-01,Média dos Domingos,88,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-12-01,Média dos Domingos,3,15,metro,Prata,Silver
2017,transport,2017-12-01,Média dos Domingos,1280,99,metro,Sistema METRO,METRO System
2017,transport,2017-12-01,Máxima Diária,1486,1,metro,Azul,Blue
2017,transport,2017-12-01,Máxima Diária,713,2,metro,Verde,Green
2017,transport,2017-12-01,Máxima Diária,1499,3,metro,Vermelha,Red
2017,transport,2017-12-01,Máxima Diária,290,5,metro,Lil<c3><a1>s,Lilac
2017,transport,2017-12-01,Máxima Diária,23,15,metro,Prata,Silver
2017,transport,2017-12-01,Máxima Diária,4000,99,metro,Sistema METRO,METRO System
2018,entrance,2018-01-01,Total,21185,1,metro,Azul,Blue
2018,entrance,2018-01-01,Total,10818,2,metro,Verde,Green
2018,entrance,2018-01-01,Total,25117,3,metro,Vermelha,Red
2018,entrance,2018-01-01,Total,5522,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-01-01,Total,209,15,metro,Prata,Silver
2018,entrance,2018-01-01,Total,62851,99,metro,Sistema METRO,METRO System
2018,entrance,2018-01-01,M<c3><a9>dia dos Dias <c3><9a>teis,863,1,metro,Azul,Blue
2018,entrance,2018-01-01,M<c3><a9>dia dos Dias <c3><9a>teis,454,2,metro,Verde,Green
2018,entrance,2018-01-01,M<c3><a9>dia dos Dias <c3><9a>teis,1008,3,metro,Vermelha,Red
2018,entrance,2018-01-01,M<c3><a9>dia dos Dias <c3><9a>teis,226,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-01-01,M<c3><a9>dia dos Dias <c3><9a>teis,10,15,metro,Prata,Silver
2018,entrance,2018-01-01,M<c3><a9>dia dos Dias <c3><9a>teis,2560,99,metro,Sistema METRO,METRO System
2018,entrance,2018-01-01,M<c3><a9>dia dos S<c3><a1>bados,501,1,metro,Azul,Blue
2018,entrance,2018-01-01,M<c3><a9>dia dos S<c3><a1>bados,216,2,metro,Verde,Green
2018,entrance,2018-01-01,M<c3><a9>dia dos S<c3><a1>bados,613,3,metro,Vermelha,Red
2018,entrance,2018-01-01,M<c3><a9>dia dos S<c3><a1>bados,139,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-01-01,M<c3><a9>dia dos S<c3><a1>bados,3,15,metro,Prata,Silver
2018,entrance,2018-01-01,M<c3><a9>dia dos S<c3><a1>bados,1472,99,metro,Sistema METRO,METRO System
2018,entrance,2018-01-01,M<c3><a9>dia dos Domingos,283,1,metro,Azul,Blue
2018,entrance,2018-01-01,M<c3><a9>dia dos Domingos,131,2,metro,Verde,Green
2018,entrance,2018-01-01,M<c3><a9>dia dos Domingos,361,3,metro,Vermelha,Red
2018,entrance,2018-01-01,M<c3><a9>dia dos Domingos,55,5,metro,Lil<c3><a1>s,Lilac
2018,entrance,2018-01-01,M<c3><a9>dia dos Domingos,1,15,metro,Prata,Silver
2018,entrance,2018-01-01,M<c3><a9>dia dos Domingos,831,99,metro,Sistema METRO,METRO System
