year,measure,date,variable,value,line_number,type,line_name_pt,line_name
2016,entrance,2016-05-01,Total,194,15,metro,Prata,Silver
2016,entrance,2016-05-01,Total,76611,99,metro,Sistema METRO,METRO System
2016,entrance,2016-05-01,Média dos Dias Úteis,1066,1,metro,Azul,Blue
2016,entrance,2016-05-01,Média dos Dias Úteis,537,2,metro,Verde,Green
2016,entrance,2016-05-01,Média dos Dias Úteis,1219,3,metro,Vermelha,Red
2016,entrance,2016-05-01,Média dos Dias Úteis,271,5,metro,Lilás,Lilac
2016,entrance,2016-05-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-05-01,Média dos Dias Úteis,3102,99,metro,Sistema METRO,METRO System
2016,entrance,2016-05-01,Média dos Sábados,562,1,metro,Azul,Blue
2016,entrance,2016-05-01,Média dos Sábados,226,2,metro,Verde,Green
2016,entrance,2016-05-01,Média dos Sábados,674,3,metro,Vermelha,Red
2016,entrance,2016-05-01,Média dos Sábados,156,5,metro,Lilás,Lilac
2016,entrance,2016-05-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-05-01,Média dos Sábados,1621,99,metro,Sistema METRO,METRO System
2016,entrance,2016-05-01,Média dos Domingos,327,1,metro,Azul,Blue
2016,entrance,2016-05-01,Média dos Domingos,140,2,metro,Verde,Green
2016,entrance,2016-05-01,Média dos Domingos,433,3,metro,Vermelha,Red
2016,entrance,2016-05-01,Média dos Domingos,72,5,metro,Lilás,Lilac
2016,entrance,2016-05-01,Média dos Domingos,2,15,metro,Prata,Silver
2016,entrance,2016-05-01,Média dos Domingos,973,99,metro,Sistema METRO,METRO System
2016,entrance,2016-05-01,Máxima Diária,1111,1,metro,Azul,Blue
2016,entrance,2016-05-01,Máxima Diária,551,2,metro,Verde,Green
2016,entrance,2016-05-01,Máxima Diária,1268,3,metro,Vermelha,Red
2016,entrance,2016-05-01,Máxima Diária,290,5,metro,Lilás,Lilac
2016,entrance,2016-05-01,Máxima Diária,9,15,metro,Prata,Silver
2016,entrance,2016-05-01,Máxima Diária,3217,99,metro,Sistema METRO,METRO System
2016,entrance,2016-06-01,Total,26157,1,metro,Azul,Blue
2016,entrance,2016-06-01,Total,12974,2,metro,Verde,Green
2016,entrance,2016-06-01,Total,30206,3,metro,Vermelha,Red
2016,entrance,2016-06-01,Total,6720,5,metro,Lilás,Lilac
2016,entrance,2016-06-01,Total,195,15,metro,Prata,Silver
2016,entrance,2016-06-01,Total,76251,99,metro,Sistema METRO,METRO System
2016,entrance,2016-06-01,Média dos Dias Úteis,1029,1,metro,Azul,Blue
2016,entrance,2016-06-01,Média dos Dias Úteis,523,2,metro,Verde,Green
2016,entrance,2016-06-01,Média dos Dias Úteis,1174,3,metro,Vermelha,Red
2016,entrance,2016-06-01,Média dos Dias Úteis,263,5,metro,Lilás,Lilac
2016,entrance,2016-06-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-06-01,Média dos Dias Úteis,2997,99,metro,Sistema METRO,METRO System
2016,entrance,2016-06-01,Média dos Sábados,571,1,metro,Azul,Blue
2016,entrance,2016-06-01,Média dos Sábados,227,2,metro,Verde,Green
2016,entrance,2016-06-01,Média dos Sábados,686,3,metro,Vermelha,Red
2016,entrance,2016-06-01,Média dos Sábados,157,5,metro,Lilás,Lilac
2016,entrance,2016-06-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-06-01,Média dos Sábados,1644,99,metro,Sistema METRO,METRO System
2016,entrance,2016-06-01,Média dos Domingos,309,1,metro,Azul,Blue
2016,entrance,2016-06-01,Média dos Domingos,138,2,metro,Verde,Green
2016,entrance,2016-06-01,Média dos Domingos,412,3,metro,Vermelha,Red
2016,entrance,2016-06-01,Média dos Domingos,78,5,metro,Lilás,Lilac
2016,entrance,2016-06-01,Média dos Domingos,1,15,metro,Prata,Silver
2016,entrance,2016-06-01,Média dos Domingos,937,99,metro,Sistema METRO,METRO System
2016,entrance,2016-06-01,Máxima Diária,1081,1,metro,Azul,Blue
2016,entrance,2016-06-01,Máxima Diária,561,2,metro,Verde,Green
2016,entrance,2016-06-01,Máxima Diária,1238,3,metro,Vermelha,Red
2016,entrance,2016-06-01,Máxima Diária,285,5,metro,Lilás,Lilac
2016,entrance,2016-06-01,Máxima Diária,9,15,metro,Prata,Silver
2016,entrance,2016-06-01,Máxima Diária,3162,99,metro,Sistema METRO,METRO System
2016,entrance,2016-07-01,Total,24157,1,metro,Azul,Blue
2016,entrance,2016-07-01,Total,11988,2,metro,Verde,Green
2016,entrance,2016-07-01,Total,28294,3,metro,Vermelha,Red
2016,entrance,2016-07-01,Total,6215,5,metro,Lilás,Lilac
2016,entrance,2016-07-01,Total,188,15,metro,Prata,Silver
2016,entrance,2016-07-01,Total,70842,99,metro,Sistema METRO,METRO System
2016,entrance,2016-07-01,Média dos Dias Úteis,945,1,metro,Azul,Blue
2016,entrance,2016-07-01,Média dos Dias Úteis,486,2,metro,Verde,Green
2016,entrance,2016-07-01,Média dos Dias Úteis,1096,3,metro,Vermelha,Red
2016,entrance,2016-07-01,Média dos Dias Úteis,243,5,metro,Lilás,Lilac
2016,entrance,2016-07-01,Média dos Dias Úteis,8,15,metro,Prata,Silver
2016,entrance,2016-07-01,Média dos Dias Úteis,2778,99,metro,Sistema METRO,METRO System
2016,entrance,2016-07-01,Média dos Sábados,537,1,metro,Azul,Blue
2016,entrance,2016-07-01,Média dos Sábados,212,2,metro,Verde,Green
2016,entrance,2016-07-01,Média dos Sábados,635,3,metro,Vermelha,Red
2016,entrance,2016-07-01,Média dos Sábados,147,5,metro,Lilás,Lilac
2016,entrance,2016-07-01,Média dos Sábados,3,15,metro,Prata,Silver
2016,entrance,2016-07-01,Média dos Sábados,1533,99,metro,Sistema METRO,METRO System
2016,entrance,2016-07-01,Média dos Domingos,327,1,metro,Azul,Blue
2016,entrance,2016-07-01,Média dos Domingos,145,2,metro,Verde,Green
2016,entrance,2016-07-01,Média dos Domingos,418,3,metro,Vermelha,Red
2016,entrance,2016-07-01,Média dos Domingos,76,5,metro,Lilás,Lilac
