date,line_number,metric_abb,metric,value,year
2020-07-01,NA,msa,Média dos Sábados,639,2020
2020-07-01,NA,mdo,Média dos Domingos,319,2020
2020-07-01,NA,max,Máxima Diária,1131,2020
2020-08-01,1,total,Total,10372,2020
2020-08-01,1,mdu,Média dos Dias Úteis,406,2020
2020-08-01,1,msa,Média dos Sábados,253,2020
2020-08-01,1,mdo,Média dos Domingos,117,2020
2020-08-01,1,max,Máxima Diária,438,2020
2020-08-01,2,total,Total,5450,2020
2020-08-01,2,mdu,Média dos Dias Úteis,218,2020
2020-08-01,2,msa,Média dos Sábados,114,2020
2020-08-01,2,mdo,Média dos Domingos,61,2020
2020-08-01,2,max,Máxima Diária,229,2020
2020-08-01,3,total,Total,13451,2020
2020-08-01,3,mdu,Média dos Dias Úteis,522,2020
2020-08-01,3,msa,Média dos Sábados,329,2020
2020-08-01,3,mdo,Média dos Domingos,169,2020
2020-08-01,3,max,Máxima Diária,565,2020
2020-08-01,15,total,Total,799,2020
2020-08-01,15,mdu,Média dos Dias Úteis,31,2020
2020-08-01,15,msa,Média dos Sábados,20,2020
2020-08-01,15,mdo,Média dos Domingos,10,2020
2020-08-01,15,max,Máxima Diária,34,2020
2020-08-01,NA,total,Total,30071,2020
2020-08-01,NA,mdu,Média dos Dias Úteis,1177,2020
2020-08-01,NA,msa,Média dos Sábados,715,2020
2020-08-01,NA,mdo,Média dos Domingos,356,2020
2020-08-01,NA,max,Máxima Diária,1265,2020
2020-09-01,1,total,Total,11428,2020
2020-09-01,1,mdu,Média dos Dias Úteis,453,2020
2020-09-01,1,msa,Média dos Sábados,294,2020
2020-09-01,1,mdo,Média dos Domingos,141,2020
2020-09-01,1,max,Máxima Diária,473,2020
2020-09-01,2,total,Total,6002,2020
2020-09-01,2,mdu,Média dos Dias Úteis,244,2020
2020-09-01,2,msa,Média dos Sábados,130,2020
2020-09-01,2,mdo,Média dos Domingos,70,2020
2020-09-01,2,max,Máxima Diária,255,2020
2020-09-01,3,total,Total,14531,2020
2020-09-01,3,mdu,Média dos Dias Úteis,573,2020
2020-09-01,3,msa,Média dos Sábados,373,2020
2020-09-01,3,mdo,Média dos Domingos,193,2020
2020-09-01,3,max,Máxima Diária,595,2020
2020-09-01,15,total,Total,882,2020
2020-09-01,15,mdu,Média dos Dias Úteis,35,2020
2020-09-01,15,msa,Média dos Sábados,23,2020
2020-09-01,15,mdo,Média dos Domingos,12,2020
2020-09-01,15,max,Máxima Diária,37,2020
2020-09-01,NA,total,Total,32842,2020
2020-09-01,NA,mdu,Média dos Dias Úteis,1304,2020
2020-09-01,NA,msa,Média dos Sábados,820,2020
2020-09-01,NA,mdo,Média dos Domingos,416,2020
2020-09-01,NA,max,Máxima Diária,1359,2020
2020-10-01,1,total,Total,12750,2020
2020-10-01,1,mdu,Média dos Dias Úteis,493,2020
2020-10-01,1,msa,Média dos Sábados,320,2020
2020-10-01,1,mdo,Média dos Domingos,152,2020
2020-10-01,1,max,Máxima Diária,514,2020
2020-10-01,2,total,Total,6647,2020
2020-10-01,2,mdu,Média dos Dias Úteis,264,2020
2020-10-01,2,msa,Média dos Sábados,141,2020
2020-10-01,2,mdo,Média dos Domingos,78,2020
2020-10-01,2,max,Máxima Diária,275,2020
2020-10-01,3,total,Total,15977,2020
2020-10-01,3,mdu,Média dos Dias Úteis,615,2020
2020-10-01,3,msa,Média dos Sábados,395,2020
2020-10-01,3,mdo,Média dos Domingos,209,2020
2020-10-01,3,max,Máxima Diária,648,2020
2020-10-01,15,total,Total,986,2020
2020-10-01,15,mdu,Média dos Dias Úteis,38,2020
2020-10-01,15,msa,Média dos Sábados,24,2020
2020-10-01,15,mdo,Média dos Domingos,13,2020
2020-10-01,15,max,Máxima Diária,41,2020
2020-10-01,NA,total,Total,36359,2020
2020-10-01,NA,mdu,Média dos Dias Úteis,1410,2020
2020-10-01,NA,msa,Média dos Sábados,880,2020
2020-10-01,NA,mdo,Média dos Domingos,452,2020
2020-10-01,NA,max,Máxima Diária,1475,2020
2020-11-01,1,total,Total,12873,2020
2020-11-01,1,mdu,Média dos Dias Úteis,520,2020
2020-11-01,1,msa,Média dos Sábados,355,2020
2020-11-01,1,mdo,Média dos Domingos,176,2020
2020-11-01,1,max,Máxima Diária,545,2020
2020-11-01,2,total,Total,6695,2020
2020-11-01,2,mdu,Média dos Dias Úteis,276,2020
2020-11-01,2,msa,Média dos Sábados,156,2020
2020-11-01,2,mdo,Média dos Domingos,90,2020
2020-11-01,2,max,Máxima Diária,286,2020
2020-11-01,3,total,Total,16020,2020
2020-11-01,3,mdu,Média dos Dias Úteis,641,2020
2020-11-01,3,msa,Média dos Sábados,441,2020
2020-11-01,3,mdo,Média dos Domingos,239,2020
2020-11-01,3,max,Máxima Diária,681,2020
2020-11-01,15,total,Total,1002,2020
2020-11-01,15,mdu,Média dos Dias Úteis,40,2020
2020-11-01,15,msa,Média dos Sábados,27,2020
2020-11-01,15,mdo,Média dos Domingos,15,2020
2020-11-01,15,max,Máxima Diária,43,2020
