date,line_number,metric_abb,metric,value,year
2021-08-01,1,msa,Average on Saturdays,336,2021
2021-08-01,1,mdo,Average on Sundays,173,2021
2021-08-01,1,max,Daily Peak,553,2021
2021-08-01,2,total,Total,7899,2021
2021-08-01,2,mdu,Average on Business Days,306,2021
2021-08-01,2,msa,Average on Saturdays,165,2021
2021-08-01,2,mdo,Average on Sundays,101,2021
2021-08-01,2,max,Daily Peak,322,2021
2021-08-01,3,total,Total,16941,2021
2021-08-01,3,mdu,Average on Business Days,650,2021
2021-08-01,3,msa,Average on Saturdays,402,2021
2021-08-01,3,mdo,Average on Sundays,209,2021
2021-08-01,3,max,Daily Peak,680,2021
2021-08-01,15,total,Total,1176,2021
2021-08-01,15,mdu,Average on Business Days,47,2021
2021-08-01,15,msa,Average on Saturdays,23,2021
2021-08-01,15,mdo,Average on Sundays,10,2021
2021-08-01,15,max,Daily Peak,50,2021
2021-08-01,99,total,Total,39903,2021
2021-08-01,99,mdu,Average on Business Days,1534,2021
2021-08-01,99,msa,Average on Saturdays,925,2021
2021-08-01,99,mdo,Average on Sundays,493,2021
2021-08-01,99,max,Daily Peak,1596,2021
2021-09-01,1,total,Total,14620,2021
2021-09-01,1,mdu,Average on Business Days,580,2021
2021-09-01,1,msa,Average on Saturdays,373,2021
2021-09-01,1,mdo,Average on Sundays,202,2021
2021-09-01,1,max,Daily Peak,600,2021
2021-09-01,2,total,Total,8167,2021
2021-09-01,2,mdu,Average on Business Days,328,2021
2021-09-01,2,msa,Average on Saturdays,178,2021
2021-09-01,2,mdo,Average on Sundays,118,2021
2021-09-01,2,max,Daily Peak,338,2021
2021-09-01,3,total,Total,17307,2021
2021-09-01,3,mdu,Average on Business Days,691,2021
2021-09-01,3,msa,Average on Saturdays,432,2021
2021-09-01,3,mdo,Average on Sundays,231,2021
2021-09-01,3,max,Daily Peak,742,2021
2021-09-01,15,total,Total,1214,2021
2021-09-01,15,mdu,Average on Business Days,50,2021
2021-09-01,15,msa,Average on Saturdays,30,2021
2021-09-01,15,mdo,Average on Sundays,11,2021
2021-09-01,15,max,Daily Peak,51,2021
2021-09-01,99,total,Total,41308,2021
2021-09-01,99,mdu,Average on Business Days,1649,2021
2021-09-01,99,msa,Average on Saturdays,1013,2021
2021-09-01,99,mdo,Average on Sundays,562,2021
2021-09-01,99,max,Daily Peak,1697,2021
2021-10-01,1,total,Total,15384,2021
2021-10-01,1,mdu,Average on Business Days,614,2021
2021-10-01,1,msa,Average on Saturdays,403,2021
2021-10-01,1,mdo,Average on Sundays,196,2021
2021-10-01,1,max,Daily Peak,652,2021
2021-10-01,2,total,Total,8506,2021
2021-10-01,2,mdu,Average on Business Days,348,2021
2021-10-01,2,msa,Average on Saturdays,195,2021
2021-10-01,2,mdo,Average on Sundays,112,2021
2021-10-01,2,max,Daily Peak,365,2021
2021-10-01,3,total,Total,18109,2021
2021-10-01,3,mdu,Average on Business Days,723,2021
2021-10-01,3,msa,Average on Saturdays,463,2021
2021-10-01,3,mdo,Average on Sundays,243,2021
2021-10-01,3,max,Daily Peak,764,2021
2021-10-01,15,total,Total,1195,2021
