date,line_number,metric_abb,metric,value,year
2015-08-01,4,msa,Média dos Sábados,13743.466666666664,2015
2015-08-01,4,total,Total,4226540,2015
2015-09-01,4,max,Máxima Diária,66963,2015
2015-09-01,4,mdo,Média dos Domingos,7440.916666666668,2015
2015-09-01,4,mdu,Média dos Dias Úteis,28143.373015873014,2015
2015-09-01,4,msa,Média dos Sábados,13037.583333333334,2015
2015-09-01,4,total,Total,4077282,2015
2015-10-01,4,max,Máxima Diária,69329,2015
2015-10-01,4,mdo,Média dos Domingos,8036.833333333332,2015
2015-10-01,4,mdu,Média dos Dias Úteis,28407.690476190455,2015
2015-10-01,4,msa,Média dos Sábados,13626.566666666668,2015
2015-10-01,4,total,Total,4225367,2015
2015-11-01,4,max,Máxima Diária,70656,2015
2015-11-01,4,mdo,Média dos Domingos,7880.533333333332,2015
2015-11-01,4,mdu,Média dos Dias Úteis,27710.075000000015,2015
2015-11-01,4,msa,Média dos Sábados,13734.625,2015
2015-11-01,4,total,Total,3932599,2015
2015-12-01,4,max,Máxima Diária,68225,2015
2015-12-01,4,mdo,Média dos Domingos,8534.75,2015
2015-12-01,4,mdu,Média dos Dias Úteis,24343.58333333332,2015
2015-12-01,4,msa,Média dos Sábados,13165.916666666664,2015
2015-12-01,4,total,Total,3758409,2015
2016-01-01,4,max,Máxima Diária,54720,2016
2016-01-01,4,mdo,Média dos Domingos,8654.666666666666,2016
2016-01-01,4,mdu,Média dos Dias Úteis,23198.59166666666,2016
2016-01-01,4,msa,Média dos Sábados,12215.73333333333,2016
2016-01-01,4,total,Total,3431312,2016
2016-02-01,4,max,Máxima Diária,64896,2016
2016-02-01,4,mdo,Média dos Domingos,9252.041666666666,2016
2016-02-01,4,mdu,Média dos Dias Úteis,26655.88596491229,2016
2016-02-01,4,msa,Média dos Sábados,14417.583333333336,2016
2016-02-01,4,total,Total,3772680,2016
2016-03-01,4,max,Máxima Diária,71108,2016
2016-03-01,4,mdo,Média dos Domingos,9669.041666666668,2016
2016-03-01,4,mdu,Média dos Dias Úteis,28434.39393939395,2016
2016-03-01,4,msa,Média dos Sábados,13079.083333333336,2016
2016-03-01,4,total,Total,4340742,2016
2016-04-01,4,max,Máxima Diária,69393,2016
2016-04-01,4,mdo,Média dos Domingos,8243.708333333332,2016
2016-04-01,4,mdu,Média dos Dias Úteis,27898.95000000002,2016
2016-04-01,4,msa,Média dos Sábados,13202.5,2016
2016-04-01,4,total,Total,3993082,2016
2016-05-01,4,max,Máxima Diária,67086,2016
2016-05-01,4,mdo,Média dos Domingos,8870.033333333336,2016
2016-05-01,4,mdu,Média dos Dias Úteis,27560.023809523827,2016
2016-05-01,4,msa,Média dos Sábados,13017.166666666664,2016
2016-05-01,4,total,Total,4105330,2016
2016-06-01,4,max,Máxima Diária,64498,2016
2016-06-01,4,mdo,Média dos Domingos,7854.458333333332,2016
2016-06-01,4,mdu,Média dos Dias Úteis,27306.848484848466,2016
2016-06-01,4,msa,Média dos Sábados,13376.583333333334,2016
2016-06-01,4,total,Total,4114049,2016
2016-07-01,4,max,Máxima Diária,59178,2016
2016-07-01,4,mdo,Média dos Domingos,8465.966666666664,2016
2016-07-01,4,mdu,Média dos Dias Úteis,25324.20634920634,2016
2016-07-01,4,msa,Média dos Sábados,12272.099999999999,2016
2016-07-01,4,total,Total,3812992,2016
2016-08-01,4,max,Máxima Diária,69380,2016
2016-08-01,4,mdo,Média dos Domingos,7817.25,2016
2016-08-01,4,mdu,Média dos Dias Úteis,27644.0072463768,2016
2016-08-01,4,msa,Média dos Sábados,13265.625,2016
2016-08-01,4,total,Total,4320862,2016
2016-09-01,4,max,Máxima Diária,65680,2016
2016-09-01,4,mdo,Média dos Domingos,8703.083333333332,2016
2016-09-01,4,mdu,Média dos Dias Úteis,27677.912698412707,2016
2016-09-01,4,msa,Média dos Sábados,13532.958333333334,2016
2016-09-01,4,total,Total,4073489,2016
2016-10-01,4,max,Máxima Diária,65993,2016
2016-10-01,4,mdo,Média dos Domingos,7928.366666666666,2016
2016-10-01,4,mdu,Média dos Dias Úteis,27592.31666666668,2016
2016-10-01,4,msa,Média dos Sábados,13545.099999999999,2016
2016-10-01,4,total,Total,4006988,2016
2016-11-01,4,max,Máxima Diária,66409,2016
2016-11-01,4,mdo,Média dos Domingos,7846.958333333332,2016
2016-11-01,4,mdu,Média dos Dias Úteis,27352.200000000015,2016
2016-11-01,4,msa,Média dos Sábados,13602.25,2016
2016-11-01,4,total,Total,3893253,2016
2016-12-01,4,max,Máxima Diária,64773,2016
2016-12-01,4,mdo,Média dos Domingos,8081.333333333333,2016
2016-12-01,4,mdu,Média dos Dias Úteis,24288.939393939367,2016
2016-12-01,4,msa,Média dos Sábados,11631.599999999999,2016
2016-12-01,4,total,Total,3749040,2016
2017-01-01,4,max,Máxima Diária,52423,2017
2017-01-01,4,mdo,Média dos Domingos,6288,2017
2017-01-01,4,mdu,Média dos Dias Úteis,21834.818181818166,2017
2017-01-01,4,msa,Média dos Sábados,11263.125,2017
2017-01-01,4,total,Total,3341151,2017
2017-02-01,4,max,Máxima Diária,60357,2017
2017-02-01,4,mdo,Média dos Domingos,11259.166666666666,2017
2017-02-01,4,mdu,Média dos Dias Úteis,26730.166666666675,2017
2017-02-01,4,msa,Média dos Sábados,18630.375,2017
2017-02-01,4,total,Total,3809111,2017
2017-03-01,4,max,Máxima Diária,66653,2017
2017-03-01,4,mdo,Média dos Domingos,8619.583333333332,2017
2017-03-01,4,mdu,Média dos Dias Úteis,27781.782608695634,2017
2017-03-01,4,msa,Média dos Sábados,15670.791666666666,2017
2017-03-01,4,total,Total,4416855,2017
2017-04-01,4,max,Máxima Diária,68018,2017
2017-04-01,4,mdo,Média dos Domingos,6411.299999999999,2017
2017-04-01,4,mdu,Média dos Dias Úteis,27631.305555555573,2017
2017-04-01,4,msa,Média dos Sábados,12777.799999999997,2017
2017-04-01,4,total,Total,3647254,2017
2017-05-01,4,max,Máxima Diária,66893,2017
2017-05-01,4,mdo,Média dos Domingos,6157.458333333333,2017
2017-05-01,4,mdu,Média dos Dias Úteis,28370.69696969695,2017
2017-05-01,4,msa,Média dos Sábados,14338.708333333336,2017
2017-05-01,4,total,Total,4281720,2017
2017-06-01,4,max,Máxima Diária,65143,2017
2017-06-01,4,mdo,Média dos Domingos,7399.333333333333,2017
2017-06-01,4,mdu,Média dos Dias Úteis,27281.063492063517,2017
2017-06-01,4,msa,Média dos Sábados,13331.958333333334,2017
2017-06-01,4,total,Total,3973425,2017
2017-07-01,4,max,Máxima Diária,57826,2017
2017-07-01,4,mdo,Média dos Domingos,5940.033333333334,2017
2017-07-01,4,mdu,Média dos Dias Úteis,25379.738095238084,2017
2017-07-01,4,msa,Média dos Sábados,12925.166666666666,2017
2017-07-01,4,total,Total,3763803,2017
2017-08-01,4,max,Máxima Diária,64051,2017
2017-08-01,4,mdo,Média dos Domingos,3867.5,2017
2017-08-01,4,mdu,Média dos Dias Úteis,27913.7971014493,2017
2017-08-01,4,msa,Média dos Sábados,13345.666666666666,2017
2017-08-01,4,total,Total,4265220,2017
2017-09-01,4,max,Máxima Diária,65065,2017
2017-09-01,4,mdo,Média dos Domingos,5703.25,2017
2017-09-01,4,mdu,Média dos Dias Úteis,28004.85833333335,2017
2017-09-01,4,msa,Média dos Sábados,13125.166666666666,2017
2017-09-01,4,total,Total,3931020,2017
2017-10-01,4,max,Máxima Diária,68540,2017
2017-10-01,4,mdo,Média dos Domingos,5410.133333333335,2017
2017-10-01,4,mdu,Média dos Dias Úteis,28150.34126984126,2017
2017-10-01,4,msa,Média dos Sábados,13301.083333333334,2017
2017-10-01,4,total,Total,4078733,2017
2017-11-01,4,max,Máxima Diária,66829,2017
2017-11-01,4,mdo,Média dos Domingos,5869,2017
2017-11-01,4,mdu,Média dos Dias Úteis,27372.924999999985,2017
2017-11-01,4,msa,Média dos Sábados,13224.291666666666,2017
2017-11-01,4,total,Total,3792598,2017
2017-12-01,4,max,Máxima Diária,65779,2017
2017-12-01,4,mdo,Média dos Domingos,5660.633333333335,2017
2017-12-01,4,mdu,Média dos Dias Úteis,25298.256198347128,2017
2017-12-01,4,msa,Média dos Sábados,12858.366666666665,2017
2017-12-01,4,total,Total,3639293,2017
2018-01-01,4,max,Máxima Diária,52740,2018
2018-01-01,4,mdo,Média dos Domingos,5427.759999999999,2018
2018-01-01,4,mdu,Média dos Dias Úteis,20929.614285714306,2018
2018-01-01,4,msa,Média dos Sábados,11236.12,2018
2018-01-01,4,total,Total,3373421,2018
2018-02-01,4,max,Máxima Diária,66147,2018
2018-02-01,4,mdo,Média dos Domingos,10411.535714285716,2018
2018-02-01,4,mdu,Média dos Dias Úteis,25180.84920634919,2018
2018-02-01,4,msa,Média dos Sábados,19441.785714285717,2018
2018-02-01,4,total,Total,4204266,2018
2018-03-01,4,max,Máxima Diária,68707,2018
2018-03-01,4,mdo,Média dos Domingos,7469.035714285714,2018
2018-03-01,4,mdu,Média dos Dias Úteis,28265.959183673454,2018
2018-03-01,4,msa,Média dos Sábados,12655.400000000003,2018
2018-03-01,4,total,Total,4855552,2018
2018-04-01,4,max,Máxima Diária,67910,2018
2018-04-01,4,mdo,Média dos Domingos,6389.025641025641,2018
2018-04-01,4,mdu,Média dos Dias Úteis,24880.580838323367,2018
2018-04-01,4,msa,Média dos Sábados,11456.0625,2018
2018-04-01,4,total,Total,4770823,2018
2018-05-01,4,max,Máxima Diária,68652,2018
2018-05-01,4,mdo,Média dos Domingos,8218.84375,2018
2018-05-01,4,mdu,Média dos Dias Úteis,26157.91666666667,2018
2018-05-01,4,msa,Média dos Sábados,13087.71875,2018
2018-05-01,4,total,Total,5208798,2018
2018-06-01,4,max,Máxima Diária,66832,2018
2018-06-01,4,mdo,Média dos Domingos,7866.875,2018
2018-06-01,4,mdu,Média dos Dias Úteis,24652.08928571427,2018
2018-06-01,4,msa,Média dos Sábados,12099.5,2018
2018-06-01,4,total,Total,4877271,2018
2018-07-01,4,max,Máxima Diária,66500,2018
2018-07-01,4,mdo,Média dos Domingos,7776.2249999999985,2018
2018-07-01,4,mdu,Média dos Dias Úteis,22976.125,2018
2018-07-01,4,msa,Média dos Sábados,12320.375,2018
2018-07-01,4,total,Total,4749099,2018
2018-08-01,4,max,Máxima Diária,80946,2018
2018-08-01,4,mdo,Média dos Domingos,7785.0625,2018
2018-08-01,4,mdu,Média dos Dias Úteis,28466.059782608725,2018
2018-08-01,4,msa,Média dos Sábados,13763.09375,2018
2018-08-01,4,total,Total,5927296,2018
2018-08-01,5,max,Máxima Diária,94488,2018
2018-08-01,5,mdo,Média dos Domingos,7434.521739130437,2018
2018-08-01,5,mdu,Média dos Dias Úteis,26733.5064935065,2018
2018-08-01,5,msa,Média dos Sábados,15266.130434782612,2018
2018-08-01,5,total,Total,7219670,2018
2018-09-01,4,max,Máxima Diária,80389,2018
2018-09-01,4,mdo,Média dos Domingos,4138.325,2018
2018-09-01,4,mdu,Média dos Dias Úteis,28572.88815789473,2018
2018-09-01,4,msa,Média dos Sábados,14828.175000000003,2018
2018-09-01,4,total,Total,5174732,2018
2018-09-01,5,max,Máxima Diária,96283,2018
2018-09-01,5,mdo,Média dos Domingos,6804.529411764709,2018
2018-09-01,5,mdu,Média dos Dias Úteis,24520.731999999996,2018
2018-09-01,5,msa,Média dos Sábados,13399.397058823533,2018
2018-09-01,5,total,Total,7631616,2018
2018-10-01,4,max,Máxima Diária,81071,2018
2018-10-01,4,mdo,Média dos Domingos,5001.689655172415,2018
2018-10-01,4,mdu,Média dos Dias Úteis,27558.84530386738,2018
2018-10-01,4,msa,Média dos Sábados,12909.818181818184,2018
2018-10-01,4,total,Total,5630477,2018
2018-10-01,5,max,Máxima Diária,95021,2018
2018-10-01,5,mdo,Média dos Domingos,8206.453125,2018
2018-10-01,5,mdu,Média dos Dias Úteis,26486.190340909066,2018
2018-10-01,5,msa,Média dos Sábados,14203.109375,2018
2018-10-01,5,total,Total,10896615,2018
2018-11-01,4,max,Máxima Diária,78911,2018
2018-11-01,4,mdo,Média dos Domingos,7535.194444444443,2018
2018-11-01,4,mdu,Média dos Dias Úteis,25094.27222222223,2018
2018-11-01,4,msa,Média dos Sábados,12216.944444444447,2018
2018-11-01,4,total,Total,5382797,2018
2018-11-01,5,max,Máxima Diária,99260,2018
2018-11-01,5,mdo,Média dos Domingos,9732.171875,2018
2018-11-01,5,mdu,Média dos Dias Úteis,30577.462500000023,2018
2018-11-01,5,msa,Média dos Sábados,16741.078125,2018
2018-11-01,5,total,Total,11833446,2018
2018-12-01,4,max,Máxima Diária,67878,2018
2018-12-01,4,mdo,Média dos Domingos,8075.355555555557,2018
