date,line_number,station_name,avg_passenger,year
2015-09-01,4,Paulista,154967.85714285713,2015
2015-09-01,4,Pinheiros,143432.80952380953,2015
2015-09-01,4,República,142069.09523809524,2015
2015-10-01,4,Butantã,71815.80952380953,2015
2015-10-01,4,Faria Lima,43470.28571428572,2015
2015-10-01,4,Fradique Coutinho,15431.095238095239,2015
2015-10-01,4,Luz,140075.90476190476,2015
2015-10-01,4,Paulista,153796.42857142858,2015
2015-10-01,4,Pinheiros,143919.80952380953,2015
2015-10-01,4,República,142180.09523809524,2015
2015-11-01,4,Butantã,70273.75,2015
2015-11-01,4,Faria Lima,43162.8,2015
2015-11-01,4,Fradique Coutinho,15403.75,2015
2015-11-01,4,Luz,135008.45,2015
2015-11-01,4,Paulista,149308.2,2015
2015-11-01,4,Pinheiros,140759.15,2015
2015-11-01,4,República,138061.65,2015
2015-12-01,4,Butantã,59901.90909090909,2015
2015-12-01,4,Faria Lima,38561.27272727273,2015
2015-12-01,4,Fradique Coutinho,13525.909090909092,2015
2015-12-01,4,Luz,110918.63636363637,2015
2015-12-01,4,Paulista,129101.0909090909,2015
2015-12-01,4,Pinheiros,123781.81818181818,2015
2015-12-01,4,República,132373.54545454544,2015
2016-01-01,4,Butantã,55227.75,2016
2016-01-01,4,Faria Lima,37777.55,2016
2016-01-01,4,Fradique Coutinho,14110.2,2016
2016-01-01,4,Luz,114419.5,2016
2016-01-01,4,Paulista,126433.05,2016
2016-01-01,4,Pinheiros,120859.5,2016
2016-01-01,4,República,123426.25,2016
2016-02-01,4,Butantã,66406.63157894737,2016
2016-02-01,4,Faria Lima,42233.42105263158,2016
2016-02-01,4,Fradique Coutinho,15468,2016
2016-02-01,4,Luz,128825.94736842105,2016
2016-02-01,4,Paulista,141602.36842105264,2016
2016-02-01,4,Pinheiros,133761.47368421053,2016
2016-02-01,4,República,136592.05263157896,2016
2016-03-01,4,Butantã,72913.18181818182,2016
2016-03-01,4,Faria Lima,43786,2016
2016-03-01,4,Fradique Coutinho,16252.59090909091,2016
2016-03-01,4,Luz,135102.9090909091,2016
2016-03-01,4,Paulista,152911.4090909091,2016
2016-03-01,4,Pinheiros,143712.63636363635,2016
2016-03-01,4,República,144514.0909090909,2016
2016-04-01,4,Butantã,71870.05,2016
2016-04-01,4,Faria Lima,43179.85,2016
2016-04-01,4,Fradique Coutinho,15959.45,2016
2016-04-01,4,Luz,132205.95,2016
2016-04-01,4,Paulista,148982.1,2016
2016-04-01,4,Pinheiros,140893.55,2016
2016-04-01,4,República,140251.25,2016
2016-05-01,4,Butantã,69710.19047619047,2016
2016-05-01,4,Faria Lima,43085.619047619046,2016
2016-05-01,4,Fradique Coutinho,16134.47619047619,2016
2016-05-01,4,Luz,132131.7142857143,2016
2016-05-01,4,Paulista,147929.14285714287,2016
2016-05-01,4,Pinheiros,137775.09523809524,2016
2016-05-01,4,República,139229.38095238095,2016
2016-06-01,4,Butantã,67455.5,2016
2016-06-01,4,Faria Lima,43625.90909090909,2016
2016-06-01,4,Fradique Coutinho,16341.136363636364,2016
2016-06-01,4,Luz,130431.13636363637,2016
2016-06-01,4,Paulista,147851.36363636365,2016
2016-06-01,4,Pinheiros,138908.0909090909,2016
2016-06-01,4,República,139476.77272727274,2016
2016-07-01,4,Butantã,61311.90476190476,2016
2016-07-01,4,Faria Lima,41554.19047619047,2016
2016-07-01,4,Fradique Coutinho,15873.714285714286,2016
2016-07-01,4,Luz,125162.76190476191,2016
2016-07-01,4,Paulista,137597.7619047619,2016
2016-07-01,4,Pinheiros,132024.57142857142,2016
2016-07-01,4,República,133025.33333333334,2016
2016-08-01,4,Butantã,70398.39130434782,2016
2016-08-01,4,Faria Lima,43575.782608695656,2016
2016-08-01,4,Fradique Coutinho,16637.956521739132,2016
2016-08-01,4,Luz,131006.43478260869,2016
2016-08-01,4,Paulista,148612.1739130435,2016
2016-08-01,4,Pinheiros,138895.52173913043,2016
2016-08-01,4,República,140194.60869565216,2016
2016-09-01,4,Butantã,71433.47619047618,2016
2016-09-01,4,Faria Lima,43982.333333333336,2016
2016-09-01,4,Fradique Coutinho,16792.285714285714,2016
2016-09-01,4,Luz,133484.66666666666,2016
2016-09-01,4,Paulista,149404.80952380953,2016
2016-09-01,4,Pinheiros,140331.2380952381,2016
2016-09-01,4,República,141144.47619047618,2016
2016-10-01,4,Butantã,71129.95,2016
2016-10-01,4,Faria Lima,44098.1,2016
2016-10-01,4,Fradique Coutinho,17090.5,2016
2016-10-01,4,Luz,134013.05,2016
2016-10-01,4,Paulista,149011.45,2016
2016-10-01,4,Pinheiros,140545.4,2016
2016-10-01,4,República,141467.25,2016
2016-11-01,4,Butantã,70341.1,2016
2016-11-01,4,Faria Lima,43869.05,2016
2016-11-01,4,Fradique Coutinho,17052.6,2016
2016-11-01,4,Luz,134604.15,2016
2016-11-01,4,Paulista,147322.85,2016
2016-11-01,4,Pinheiros,140856.85,2016
2016-11-01,4,República,140782.75,2016
2016-12-01,4,Butantã,62663.454545454544,2016
2016-12-01,4,Faria Lima,40037.86363636364,2016
2016-12-01,4,Fradique Coutinho,15102.81818181818,2016
2016-12-01,4,Luz,123310.95454545454,2016
2016-12-01,4,Paulista,129898,2016
2016-12-01,4,Pinheiros,129488,2016
2016-12-01,4,República,128254.45454545456,2016
2017-01-01,4,Butantã,54094.954545454544,2017
2017-01-01,4,Faria Lima,36998.86363636364,2017
2017-01-01,4,Fradique Coutinho,14455.545454545454,2017
2017-01-01,4,Luz,112479.09090909091,2017
2017-01-01,4,Paulista,120525.5,2017
2017-01-01,4,Pinheiros,118776.13636363637,2017
2017-01-01,4,República,117883.95454545454,2017
2017-02-01,4,Butantã,67426.77777777778,2017
2017-02-01,4,Faria Lima,44034.444444444445,2017
2017-02-01,4,Fradique Coutinho,17510.166666666668,2017
2017-02-01,4,Luz,131471.44444444444,2017
2017-02-01,4,Paulista,146298.5,2017
2017-02-01,4,Pinheiros,140222.83333333334,2017
2017-02-01,4,República,138294.11111111112,2017
2017-03-01,4,Butantã,72871.52173913043,2017
2017-03-01,4,Faria Lima,43498.565217391304,2017
2017-03-01,4,Fradique Coutinho,17374.782608695652,2017
2017-03-01,4,Luz,133914.65217391305,2017
2017-03-01,4,Paulista,149690.34782608695,2017
2017-03-01,4,Pinheiros,142133.21739130435,2017
2017-03-01,4,República,139551.30434782608,2017
2017-04-01,4,Butantã,72032.16666666667,2017
2017-04-01,4,Faria Lima,43536.555555555555,2017
2017-04-01,4,Fradique Coutinho,17443.88888888889,2017
2017-04-01,4,Luz,133949.94444444444,2017
2017-04-01,4,Paulista,146761.22222222222,2017
2017-04-01,4,Pinheiros,140703.94444444444,2017
2017-04-01,4,República,137278.77777777778,2017
2017-05-01,4,Butantã,75067.59090909091,2017
2017-05-01,4,Faria Lima,44795.77272727273,2017
2017-05-01,4,Fradique Coutinho,18112.045454545456,2017
2017-05-01,4,Luz,138231.81818181818,2017
2017-05-01,4,Paulista,152171.68181818182,2017
2017-05-01,4,Pinheiros,144875.31818181818,2017
2017-05-01,4,República,142065.22727272726,2017
2017-06-01,4,Butantã,70822,2017
2017-06-01,4,Faria Lima,43887.142857142855,2017
2017-06-01,4,Fradique Coutinho,17778.095238095237,2017
2017-06-01,4,Luz,134902.52380952382,2017
2017-06-01,4,Paulista,147252.80952380953,2017
2017-06-01,4,Pinheiros,141461.33333333334,2017
2017-06-01,4,República,139399.61904761905,2017
2017-07-01,4,Butantã,63510.666666666664,2017
2017-07-01,4,Faria Lima,42072.380952380954,2017
2017-07-01,4,Fradique Coutinho,17275.428571428572,2017
2017-07-01,4,Luz,129939.19047619047,2017
2017-07-01,4,Paulista,137487.61904761905,2017
2017-07-01,4,Pinheiros,135449.42857142858,2017
2017-07-01,4,República,132943.61904761905,2017
2017-08-01,4,Butantã,73058.95652173914,2017
2017-08-01,4,Faria Lima,44456.739130434784,2017
2017-08-01,4,Fradique Coutinho,18072.304347826088,2017
2017-08-01,4,Luz,137053.78260869565,2017
2017-08-01,4,Paulista,152119.86956521738,2017
2017-08-01,4,Pinheiros,145503.21739130435,2017
2017-08-01,4,República,141741.26086956522,2017
2017-09-01,4,Butantã,73601.25,2017
2017-09-01,4,Faria Lima,44379.6,2017
2017-09-01,4,Fradique Coutinho,18009.05,2017
2017-09-01,4,Luz,139396.35,2017
2017-09-01,4,Paulista,151790.6,2017
2017-09-01,4,Pinheiros,147032.15,2017
2017-09-01,4,República,141830.35,2017
2017-10-01,4,Butantã,74357.90476190476,2017
2017-10-01,4,Faria Lima,44472.04761904762,2017
2017-10-01,4,Fradique Coutinho,18228.095238095237,2017
2017-10-01,4,Luz,139341.57142857142,2017
2017-10-01,4,Paulista,152528.7619047619,2017
2017-10-01,4,Pinheiros,148432.57142857142,2017
2017-10-01,4,República,143357.80952380953,2017
2017-11-01,4,Butantã,72082.7,2017
2017-11-01,4,Faria Lima,43355.1,2017
2017-11-01,4,Fradique Coutinho,17940.35,2017
2017-11-01,4,Luz,137066.2,2017
2017-11-01,4,Paulista,147814.75,2017
2017-11-01,4,Pinheiros,145787.7,2017
2017-11-01,4,República,141345.4,2017
2017-12-01,4,Butantã,66111.5,2017
2017-12-01,4,Faria Lima,41656.4,2017
2017-12-01,4,Fradique Coutinho,17033.95,2017
2017-12-01,4,Higienópolis - Mackenzie,3,2017
2017-12-01,4,Luz,133863.15,2017
2017-12-01,4,Paulista,137637.85,2017
2017-12-01,4,Pinheiros,141415.05,2017
2017-12-01,4,República,135995.8,2017
2018-01-01,4,Butantã,55109.59090909091,2018
2018-01-01,4,Faria Lima,37029.09090909091,2018
2018-01-01,4,Fradique Coutinho,15547,2018
2018-01-01,4,Higienópolis - Mackenzie,1400.875,2018
2018-01-01,4,Luz,121095.09090909091,2018
2018-01-01,4,Paulista,121883.40909090909,2018
2018-01-01,4,Pinheiros,124077.63636363637,2018
2018-01-01,4,República,119521.36363636363,2018
2018-02-01,4,Butantã,69107.88888888889,2018
2018-02-01,4,Faria Lima,43406.944444444445,2018
2018-02-01,4,Fradique Coutinho,18722.222222222223,2018
2018-02-01,4,Higienópolis - Mackenzie,16887.555555555555,2018
2018-02-01,4,Luz,138883.11111111112,2018
2018-02-01,4,Paulista,147092.22222222222,2018
2018-02-01,4,Pinheiros,146784.61111111112,2018
2018-02-01,4,República,141306.16666666666,2018
2018-03-01,4,Butantã,78566.80952380953,2018
2018-03-01,4,Faria Lima,46412.23809523809,2018
2018-03-01,4,Fradique Coutinho,20011.571428571428,2018
2018-03-01,4,Higienópolis - Mackenzie,23828.904761904763,2018
2018-03-01,4,Luz,148745.7142857143,2018
2018-03-01,4,Paulista,158805.47619047618,2018
2018-03-01,4,Pinheiros,158003,2018
2018-03-01,4,República,151879.85714285713,2018
2018-04-01,4,Butantã,77660.33333333333,2018
2018-04-01,4,Faria Lima,45433.04761904762,2018
2018-04-01,4,Fradique Coutinho,19373.666666666668,2018
2018-04-01,4,Higienópolis - Mackenzie,23669.619047619046,2018
2018-04-01,4,Luz,147465.2857142857,2018
2018-04-01,4,Oscar Freire,3964.350000000001,2018
2018-04-01,4,Paulista,152672.38095238095,2018
2018-04-01,4,Pinheiros,154968.47619047618,2018
2018-04-01,4,República,148630.85714285713,2018
2018-05-01,4,Butantã,76391.95238095238,2018
2018-05-01,4,Faria Lima,47028.23809523809,2018
2018-05-01,4,Fradique Coutinho,19619.04761904762,2018
2018-05-01,4,Higienópolis - Mackenzie,24678.809523809523,2018
2018-05-01,4,Luz,148254.52380952382,2018
2018-05-01,4,Oscar Freire,13012.47619047619,2018
2018-05-01,4,Paulista,152122.09523809524,2018
2018-05-01,4,Pinheiros,157599.85714285713,2018
2018-05-01,4,República,150746.61904761905,2018
2018-06-01,4,Butantã,72410.80952380953,2018
2018-06-01,4,Faria Lima,45855.76190476191,2018
2018-06-01,4,Fradique Coutinho,18918.52380952381,2018
2018-06-01,4,Higienópolis - Mackenzie,19100.809523809523,2018
2018-06-01,4,Luz,143285.57142857142,2018
2018-06-01,4,Oscar Freire,14040.190476190477,2018
2018-06-01,4,Paulista,142968.19047619047,2018
2018-06-01,4,Pinheiros,148884.66666666666,2018
2018-06-01,4,República,144554.95238095237,2018
2018-07-01,4,Butantã,63387.27272727273,2018
2018-07-01,4,Faria Lima,42497.13636363636,2018
2018-07-01,4,Fradique Coutinho,17893.68181818182,2018
2018-07-01,4,Higienópolis - Mackenzie,14168.09090909091,2018
2018-07-01,4,Luz,134284.5,2018
2018-07-01,4,Oscar Freire,14252.318181818182,2018
2018-07-01,4,Paulista,129934.18181818182,2018
2018-07-01,4,Pinheiros,139702.4090909091,2018
2018-07-01,4,República,133976.4090909091,2018
2018-08-01,4,Butantã,77727.78260869565,2018
2018-08-01,4,Faria Lima,47623.260869565216,2018
2018-08-01,4,Fradique Coutinho,19270.521739130436,2018
2018-08-01,4,Higienópolis - Mackenzie,26685.695652173912,2018
2018-08-01,4,Luz,150624.5652173913,2018
2018-08-01,4,Oscar Freire,16488.478260869564,2018
2018-08-01,4,Paulista,150871.39130434784,2018
2018-08-01,4,Pinheiros,157072.21739130435,2018
2018-08-01,4,República,150862.95652173914,2018
2018-08-01,5,AACD-Servidor,678,2018
2018-08-01,5,Adolfo Pinheiro,8458.95,2018
2018-08-01,5,Alto da Boa Vista,3337.25,2018
2018-08-01,5,Borba Gato,8199.65,2018
2018-08-01,5,Brooklin,11995.75,2018
2018-08-01,5,Campo Limpo,32411.6,2018
2018-08-01,5,Capão Redondo,72340.65,2018
2018-08-01,5,Eucaliptos,18108.3,2018
2018-08-01,5,Giovanni Gronchi,20365.5,2018
2018-08-01,5,Largo Treze,30389.85,2018
2018-08-01,5,Moema,2424.5,2018
2018-08-01,5,Santo Amaro,90546.1,2018
2018-08-01,5,Vila das Belezas,11372.25,2018
2018-09-01,4,Butantã,77999.1052631579,2018
2018-09-01,4,Faria Lima,47655.63157894737,2018
2018-09-01,4,Fradique Coutinho,19039.473684210527,2018
2018-09-01,4,Higienópolis - Mackenzie,27105.736842105263,2018
2018-09-01,4,Luz,152669.47368421053,2018
2018-09-01,4,Oscar Freire,16845.78947368421,2018
2018-09-01,4,Paulista,151036.68421052632,2018
2018-09-01,4,Pinheiros,156855.47368421053,2018
2018-09-01,4,República,150258.05263157896,2018
2018-09-01,5,AACD-Servidor,5572.368421052631,2018
