date,year,line_number,station_code,station_name,passengers
2020-01-04,2020,1,ppq,Armênia,11.8
2020-01-04,2020,1,pse,Sé,10.8
2020-01-04,2020,1,pso,Paraíso,9.7
2020-01-04,2020,1,san,Santana,25.9
2020-01-04,2020,1,sau,Saúde,15.7
2020-01-04,2020,1,scz,Santa Cruz,48.8
2020-01-04,2020,1,trd,Tiradentes,5.4
2020-01-04,2020,1,tte,Portuguesa-Tietê,44.9
2020-01-04,2020,1,tuc,Tucuruvi,30.1
2020-01-04,2020,1,vgo,Vergueiro,10.6
2020-01-04,2020,1,vmn,Vila Mariana,7.2
2020-01-04,2020,2,aip,Alto do Ipiranga,6.9
2020-01-04,2020,2,anr,Ana Rosa,3.2
2020-01-04,2020,2,bgd,Brigadeiro,21.5
2020-01-04,2020,2,ckb,Chácara Klabin,25.7
2020-01-04,2020,2,cli,Clínicas,5.7
2020-01-04,2020,2,cns,Consolação,37.8
2020-01-04,2020,2,img,Santos-Imigrantes,5.9
2020-01-04,2020,2,pso,Paraíso,3.1
2020-01-04,2020,2,sac,Sacomã,17.7
2020-01-04,2020,2,sum,Sumaré,3.5
2020-01-04,2020,2,tri,Trianon-Masp,18.6
2020-01-04,2020,2,tti,Tamanduateí,28.1
2020-01-04,2020,2,vmd,Vila Madalena,8.5
2020-01-04,2020,2,vpt,Vila Prudente,11.4
2020-01-04,2020,3,art,Artur Alvim,29.3
2020-01-04,2020,3,bas,Brás,57.5
2020-01-04,2020,3,bel,Belém,19.9
2020-01-04,2020,3,bfu,Palmeiras-Barra Funda,90.9
2020-01-04,2020,3,bre,Bresser-Moóca,16
2020-01-04,2020,3,car,Carrão,19.6
2020-01-04,2020,3,cec,Santa Cecília,13.1
2020-01-04,2020,3,deo,Marechal Deodoro,13.3
2020-01-04,2020,3,gbu,Anhangabaú,22.3
2020-01-04,2020,3,itq,Corinthians-Itaquera,46.5
2020-01-04,2020,3,pca,Patriarca,10.4
2020-01-04,2020,3,pds,Pedro II,11.3
2020-01-04,2020,3,pen,Penha,14.8
2020-01-04,2020,3,pse,Sé,13.7
2020-01-04,2020,3,rep,República,60.2
2020-01-04,2020,3,tat,Tatuapé,47.5
2020-01-04,2020,3,vpa,Guilhermina-Esperança,10.3
