date,line_number,metric_abb,metric,value,year
2016-04-01,4,max,Daily Peak,180546,2016
2016-04-01,4,mdo,Average on Sundays,49462.25,2016
2016-04-01,4,mdu,Average on Business Days,167393.7,2016
2016-04-01,4,msa,Average on Saturdays,79215,2016
2016-04-01,4,total,Total,3993082,2016
2016-05-01,4,max,Daily Peak,174892,2016
2016-05-01,4,mdo,Average on Sundays,53220.2,2016
2016-05-01,4,mdu,Average on Business Days,165360.14285714287,2016
2016-05-01,4,msa,Average on Saturdays,78103,2016
2016-05-01,4,total,Total,4105330,2016
2016-06-01,4,max,Daily Peak,175737,2016
2016-06-01,4,mdo,Average on Sundays,47126.75,2016
2016-06-01,4,mdu,Average on Business Days,163841.0909090909,2016
2016-06-01,4,msa,Average on Saturdays,80259.5,2016
2016-06-01,4,total,Total,4114049,2016
2016-07-01,4,max,Daily Peak,162620,2016
2016-07-01,4,mdo,Average on Sundays,50795.8,2016
2016-07-01,4,mdu,Average on Business Days,151945.2380952381,2016
2016-07-01,4,msa,Average on Saturdays,73632.6,2016
2016-07-01,4,total,Total,3812992,2016
2016-08-01,4,max,Daily Peak,176962,2016
2016-08-01,4,mdo,Average on Sundays,46903.5,2016
2016-08-01,4,mdu,Average on Business Days,165864.04347826086,2016
2016-08-01,4,msa,Average on Saturdays,79593.75,2016
2016-08-01,4,total,Total,4320862,2016
2016-09-01,4,max,Daily Peak,174499,2016
2016-09-01,4,mdo,Average on Sundays,52218.5,2016
2016-09-01,4,mdu,Average on Business Days,166067.47619047618,2016
2016-09-01,4,msa,Average on Saturdays,81197.75,2016
2016-09-01,4,total,Total,4073489,2016
2016-10-01,4,max,Daily Peak,174933,2016
2016-10-01,4,mdo,Average on Sundays,47570.2,2016
2016-10-01,4,mdu,Average on Business Days,165553.9,2016
2016-10-01,4,msa,Average on Saturdays,81270.6,2016
2016-10-01,4,total,Total,4006988,2016
2016-11-01,4,max,Daily Peak,176421,2016
2016-11-01,4,mdo,Average on Sundays,47081.75,2016
2016-11-01,4,mdu,Average on Business Days,164113.2,2016
2016-11-01,4,msa,Average on Saturdays,81613.5,2016
2016-11-01,4,total,Total,3893253,2016
2016-12-01,4,max,Daily Peak,172442,2016
2016-12-01,4,mdo,Average on Sundays,48488,2016
2016-12-01,4,mdu,Average on Business Days,145733.63636363635,2016
2016-12-01,4,msa,Average on Saturdays,69789.6,2016
2016-12-01,4,total,Total,3749040,2016
2017-01-01,4,max,Daily Peak,152084,2017
2017-01-01,4,mdo,Average on Sundays,37728,2017
2017-01-01,4,mdu,Average on Business Days,131008.90909090909,2017
2017-01-01,4,msa,Average on Saturdays,67578.75,2017
2017-01-01,4,total,Total,3341151,2017
2017-02-01,4,max,Daily Peak,166381,2017
2017-02-01,4,mdo,Average on Sundays,67555,2017
2017-02-01,4,mdu,Average on Business Days,160381,2017
2017-02-01,4,msa,Average on Saturdays,111782.25,2017
2017-02-01,4,total,Total,3809111,2017
2017-03-01,4,max,Daily Peak,180190,2017
2017-03-01,4,mdo,Average on Sundays,51717.5,2017
2017-03-01,4,mdu,Average on Business Days,166690.69565217392,2017
2017-03-01,4,msa,Average on Saturdays,94024.75,2017
2017-03-01,4,total,Total,4416855,2017
2017-04-01,4,max,Daily Peak,179739,2017
2017-04-01,4,mdo,Average on Sundays,38467.8,2017
2017-04-01,4,mdu,Average on Business Days,165787.83333333334,2017
2017-04-01,4,msa,Average on Saturdays,76666.8,2017
2017-04-01,4,total,Total,3647254,2017
2017-05-01,4,max,Daily Peak,176385,2017
2017-05-01,4,mdo,Average on Sundays,36944.75,2017
