date,year,line_number,station_code,station_name,passengers
2012-02-02,2012,4,NA,Faria Lima,38853
2012-02-02,2012,4,NA,Luz,5371
2012-02-02,2012,4,NA,Paulista,23619
2012-02-02,2012,4,NA,Pinheiros,6745
2012-02-03,2012,4,NA,Butantã,46549
2012-02-03,2012,4,NA,Faria Lima,39737
2012-02-03,2012,4,NA,Luz,5438
2012-02-03,2012,4,NA,Paulista,23503
2012-02-03,2012,4,NA,Pinheiros,7021
2012-02-04,2012,4,NA,Butantã,24051
2012-02-04,2012,4,NA,Faria Lima,17914
2012-02-04,2012,4,NA,Luz,3215
2012-02-04,2012,4,NA,Paulista,8051
2012-02-04,2012,4,NA,Pinheiros,1588
2012-02-05,2012,4,NA,Butantã,14413
2012-02-05,2012,4,NA,Faria Lima,9733
2012-02-05,2012,4,NA,Luz,1170
2012-02-05,2012,4,NA,Paulista,4196
2012-02-05,2012,4,NA,Pinheiros,889
2012-02-06,2012,4,NA,Butantã,45961
2012-02-06,2012,4,NA,Faria Lima,37635
2012-02-06,2012,4,NA,Luz,5223
2012-02-06,2012,4,NA,Paulista,23430
2012-02-06,2012,4,NA,Pinheiros,6581
2012-02-07,2012,4,NA,Butantã,47703
2012-02-07,2012,4,NA,Faria Lima,41267
2012-02-07,2012,4,NA,Luz,5291
2012-02-07,2012,4,NA,Paulista,25406
2012-02-07,2012,4,NA,Pinheiros,6938
2012-02-08,2012,4,NA,Butantã,50173
2012-02-08,2012,4,NA,Faria Lima,39074
2012-02-08,2012,4,NA,Luz,5558
2012-02-08,2012,4,NA,Paulista,25211
2012-02-08,2012,4,NA,Pinheiros,6888
2012-02-09,2012,4,NA,Butantã,48290
2012-02-09,2012,4,NA,Faria Lima,38760
2012-02-09,2012,4,NA,Luz,5484
2012-02-09,2012,4,NA,Paulista,25055
2012-02-09,2012,4,NA,Pinheiros,6840
2012-02-10,2012,4,NA,Butantã,49732
2012-02-10,2012,4,NA,Faria Lima,40858
2012-02-10,2012,4,NA,Luz,5487
2012-02-10,2012,4,NA,Paulista,25494
2012-02-10,2012,4,NA,Pinheiros,6686
2012-02-11,2012,4,NA,Butantã,24375
2012-02-11,2012,4,NA,Faria Lima,17874
2012-02-11,2012,4,NA,Luz,2974
2012-02-11,2012,4,NA,Paulista,8554
2012-02-11,2012,4,NA,Pinheiros,1624
2012-02-12,2012,4,NA,Butantã,14383
2012-02-12,2012,4,NA,Faria Lima,10217
2012-02-12,2012,4,NA,Luz,1009
2012-02-12,2012,4,NA,Paulista,4263
2012-02-12,2012,4,NA,Pinheiros,764
2012-02-13,2012,4,NA,Butantã,48079
2012-02-13,2012,4,NA,Faria Lima,37546
